role,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Backend Developer,What is the purpose of indexing in databases?,To sort data alphabetically,To speed up data retrieval,To encrypt sensitive data,To backup data automatically,B,Database indexes speed up data retrieval operations significantly.
Backend Developer,What does ORM stand for?,Object Relational Mapping,Object Resource Management,Online Request Manager,Output Rendering Module,A,ORM stands for Object Relational Mapping - maps database tables to objects.
Backend Developer,Which status code means a resource was not found?,200,201,404,500,C,HTTP 404 means the requested resource was not found.
Backend Developer,What is middleware in backend development?,A database management tool,Software that connects different systems or layers,A frontend framework,A testing library,B,Middleware connects different systems or acts between request and response.
Backend Developer,What is the purpose of JWT?,To style HTML elements,To manage server resources,To securely transmit information between parties,To compress database queries,C,JWT (JSON Web Token) is used to securely transmit information between parties.
Data Scientist,What does ML stand for?,Machine Logic,Machine Learning,Modular Language,Managed Layers,B,ML stands for Machine Learning - teaching machines to learn from data.
Data Scientist,Which Python library is used for data manipulation?,React,TensorFlow,Pandas,Flask,C,Pandas is the primary Python library for data manipulation and analysis.
Data Scientist,What is overfitting in machine learning?,When a model performs well on all data,When a model learns training data too well but fails on new data,When a model is too simple,When a model runs too slowly,B,Overfitting occurs when a model memorizes training data but fails to generalize.
Data Scientist,What does EDA stand for?,Exploratory Data Analysis,Extended Data Application,External Data Access,Encrypted Data Algorithm,A,EDA stands for Exploratory Data Analysis - analyzing data to summarize characteristics.
Data Scientist,Which algorithm is used for classification?,Linear Regression,K-Means Clustering,Decision Tree,PCA,C,Decision Tree is a popular algorithm used for classification tasks.
Data Scientist,What is the purpose of normalization in data?,To delete duplicate records,To scale features to a similar range,To encrypt sensitive data,To compress large datasets,B,Normalization scales features to a similar range for better model performance.
Data Scientist,What does NLP stand for?,Network Layer Protocol,Natural Language Processing,Neural Learning Process,Numeric Logic Processing,B,NLP stands for Natural Language Processing - enabling machines to understand human language.
Data Scientist,Which library is used for machine learning in Python?,Django,NumPy,Scikit-learn,Bootstrap,C,Scikit-learn is the most popular Python library for machine learning.
Data Scientist,What is a confusion matrix used for?,To visualize neural networks,To evaluate classification model performance,To normalize data,To split datasets,B,A confusion matrix evaluates the performance of a classification model.
Data Scientist,What does PCA stand for?,Principal Component Analysis,Primary Classification Algorithm,Predictive Clustering Approach,Parallel Computing Architecture,A,PCA stands for Principal Component Analysis - used for dimensionality reduction.
Frontend Developer,What does CSS stand for?,Computer Style Sheets,Creative Style Syntax,Cascading Style Sheets,Coded Style System,C,CSS stands for Cascading Style Sheets used to style HTML elements.
Frontend Developer,Which hook is used to manage state in React?,useEffect,useContext,useState,useRef,C,useState is the primary React hook for managing component state.
Frontend Developer,What does DOM stand for?,Document Object Model,Data Object Management,Dynamic Output Module,Designed Object Method,A,DOM stands for Document Object Model - the tree structure of HTML elements.
Frontend Developer,What is the purpose of useEffect in React?,To manage state,To perform side effects in components,To create context,To handle routing,B,useEffect is used to perform side effects like API calls in React components.
Frontend Developer,Which CSS property is used to make a flex container?,display:block,display:flex,display:grid,display:inline,B,display:flex makes an element a flex container for flexible layouts.
Frontend Developer,What does JSX stand for?,JavaScript XML,Java Syntax Extension,JSON XML,JavaScript Extra,A,JSX stands for JavaScript XML - allows writing HTML-like syntax in JavaScript.
Frontend Developer,What is the virtual DOM in React?,A real browser DOM,A lightweight copy of the real DOM for performance,A CSS framework,A state management tool,B,Virtual DOM is a lightweight copy of the real DOM that React uses for performance optimization.
Frontend Developer,Which method is used to make API calls in JavaScript?,fetch(),request(),call(),get(),A,fetch() is the built-in JavaScript method for making API calls.
Frontend Developer,What is the purpose of props in React?,To manage global state,To pass data from parent to child components,To handle routing,To style components,B,Props are used to pass data from parent components to child components in React.
Frontend Developer,What does SPA stand for?,Server Page Application,Single Page Application,Styled Page Architecture,Static Page Application,B,SPA stands for Single Page Application - loads a single HTML page dynamically.
DevOps Engineer,What does DevOps stand for?,Development and Operations,Deployment and Optimization,Design and Operations,Development and Optimization,A,DevOps combines Development and Operations practices for faster delivery.
DevOps Engineer,What is the purpose of Jenkins?,Database management,Container orchestration,Continuous Integration and Deployment,Network monitoring,C,Jenkins is a popular CI/CD tool for automating software delivery pipelines.
DevOps Engineer,What does K8s stand for?,Kubernetes,Kernel 8 System,Key 8 Services,Kernel Build System,A,K8s is the abbreviation for Kubernetes - the container orchestration platform.
DevOps Engineer,What is the purpose of Git?,To monitor servers,To version control source code,To containerize applications,To manage cloud resources,B,Git is a distributed version control system for tracking code changes.
DevOps Engineer,Which tool is used for configuration management?,Docker,Kubernetes,Ansible,Jenkins,C,Ansible is a popular configuration management and automation tool.
DevOps Engineer,What does SRE stand for?,Software Reliability Engineering,System Resource Engine,Server Runtime Environment,Service Routing Engine,A,SRE stands for Site Reliability Engineering - applying software engineering to operations.
DevOps Engineer,What is the purpose of monitoring in DevOps?,To write code faster,To track system performance and detect issues,To manage source code,To deploy applications,B,Monitoring tracks system performance and helps detect and resolve issues quickly.
DevOps Engineer,What does YAML stand for?,Yet Another Markup Language,Your Application Markup Layer,YAML Ain't Markup Language,Your Automated Machine Learning,C,YAML stands for YAML Ain't Markup Language - used for configuration files.
DevOps Engineer,Which command is used to build a Docker image?,docker run,docker build,docker push,docker pull,B,docker build is used to create a Docker image from a Dockerfile.
DevOps Engineer,What is blue-green deployment?,A CSS color scheme,A deployment strategy using two identical environments,A network protocol,A database backup strategy,B,Blue-green deployment uses two identical environments to reduce downtime during releases.
